[Thread-17 , 2021-02-01 14:40:42,305, INFO, image 591633 saved to ./incoming/pexels-photo-317383.jpeg]
[Thread-10 , 2021-02-01 14:40:42,456, INFO, image 420808 saved to ./incoming/pexels-photo-193043.jpeg]
[Thread-15 , 2021-02-01 14:40:42,473, INFO, image 151442 saved to ./incoming/pexels-photo-302899.jpeg]
[Thread-24 , 2021-02-01 14:40:42,610, INFO, image 180393 saved to ./incoming/pexels-photo-325520.jpeg]
[MainThread , 2021-02-01 14:41:02,636, INFO, START make_thumbnails]
[MainThread , 2021-02-01 14:41:02,636, INFO, beginning image downloads]
[Thread-14 , 2021-02-01 14:41:03,538, INFO, image 91450 saved to ./incoming/pexels-photo-265186.jpeg]
[Thread-20 , 2021-02-01 14:41:03,539, INFO, image 177982 saved to ./incoming/pexels-photo-323503.jpeg]
[Thread-12 , 2021-02-01 14:41:03,559, INFO, image 184097 saved to ./incoming/pexels-photo-247917.jpeg]
[Thread-6 , 2021-02-01 14:41:03,559, INFO, image 125169 saved to ./incoming/pexels-photo-173125.jpeg]
[Thread-5 , 2021-02-01 14:41:03,561, INFO, image 275019 saved to ./incoming/pexels-photo-167921.jpeg]
[Thread-22 , 2021-02-01 14:41:03,568, INFO, image 151399 saved to ./incoming/pexels-photo-324655.jpeg]
[Thread-2 , 2021-02-01 14:41:03,579, INFO, image 197058 saved to ./incoming/pexels-photo-134392.jpeg]
[Thread-24 , 2021-02-01 14:41:03,595, INFO, image 180393 saved to ./incoming/pexels-photo-325520.jpeg]
[Thread-26 , 2021-02-01 14:41:03,598, INFO, image 276539 saved to ./incoming/pexels-photo-341520.jpeg]
[Thread-25 , 2021-02-01 14:41:03,617, INFO, image 116605 saved to ./incoming/pexels-photo-333529.jpeg]
[Thread-7 , 2021-02-01 14:41:03,821, INFO, image 40052 saved to ./incoming/pexels-photo-185934.jpeg]
[Thread-8 , 2021-02-01 14:41:03,849, INFO, image 186764 saved to ./incoming/pexels-photo-192454.jpeg]
[Thread-3 , 2021-02-01 14:41:04,019, INFO, image 114081 saved to ./incoming/pexels-photo-135130.jpeg]
[Thread-11 , 2021-02-01 14:41:04,036, INFO, image 72124 saved to ./incoming/pexels-photo-207962.jpeg]
[Thread-18 , 2021-02-01 14:41:04,096, INFO, image 74683 saved to ./incoming/pexels-photo-320007.jpeg]
[Thread-21 , 2021-02-01 14:41:04,128, INFO, image 181821 saved to ./incoming/pexels-photo-324030.jpeg]
[Thread-15 , 2021-02-01 14:41:04,138, INFO, image 151442 saved to ./incoming/pexels-photo-302899.jpeg]
[Thread-9 , 2021-02-01 14:41:04,237, INFO, image 364212 saved to ./incoming/pexels-photo-193038.jpeg]
[Thread-16 , 2021-02-01 14:41:04,256, INFO, image 233494 saved to ./incoming/pexels-photo-317156.jpeg]
[Thread-23 , 2021-02-01 14:41:04,263, INFO, image 263485 saved to ./incoming/pexels-photo-324658.jpeg]
[Thread-19 , 2021-02-01 14:41:04,269, INFO, image 515517 saved to ./incoming/pexels-photo-322207.jpeg]
[Thread-13 , 2021-02-01 14:41:04,294, INFO, image 259934 saved to ./incoming/pexels-photo-247932.jpeg]
[Thread-4 , 2021-02-01 14:41:04,365, INFO, image 304763 saved to ./incoming/pexels-photo-167300.jpeg]
[Thread-1 , 2021-02-01 14:41:04,462, INFO, image 77069 saved to ./incoming/pexels-photo-48603.jpeg]
[Thread-10 , 2021-02-01 14:41:04,504, INFO, image 420808 saved to ./incoming/pexels-photo-193043.jpeg]
[Thread-17 , 2021-02-01 14:41:04,570, INFO, image 591633 saved to ./incoming/pexels-photo-317383.jpeg]
[MainThread , 2021-02-01 14:41:04,570, INFO, downloaded 26 images  in 1.9338174700005766 seconds: 5627593]
[MainThread , 2021-02-01 14:41:04,571, INFO, END make_thumbnails in 1.934530991000429 seconds]
[MainThread , 2021-02-01 14:41:49,014, INFO, START make_thumbnails]
[MainThread , 2021-02-01 14:41:49,015, INFO, beginning image downloads]
[Thread-21 , 2021-02-01 14:41:50,177, INFO, image 181821 saved to ./incoming/pexels-photo-324030.jpeg]
[Thread-12 , 2021-02-01 14:41:50,240, INFO, image 184097 saved to ./incoming/pexels-photo-247917.jpeg]
[Thread-18 , 2021-02-01 14:41:50,251, INFO, image 74683 saved to ./incoming/pexels-photo-320007.jpeg]
[Thread-3 , 2021-02-01 14:41:50,257, INFO, image 114081 saved to ./incoming/pexels-photo-135130.jpeg]
[Thread-1 , 2021-02-01 14:41:50,267, INFO, image 77069 saved to ./incoming/pexels-photo-48603.jpeg]
[Thread-26 , 2021-02-01 14:41:50,282, INFO, image 276539 saved to ./incoming/pexels-photo-341520.jpeg]
[Thread-23 , 2021-02-01 14:41:50,286, INFO, image 263485 saved to ./incoming/pexels-photo-324658.jpeg]
[Thread-4 , 2021-02-01 14:41:50,299, INFO, image 304763 saved to ./incoming/pexels-photo-167300.jpeg]
[Thread-13 , 2021-02-01 14:41:50,304, INFO, image 259934 saved to ./incoming/pexels-photo-247932.jpeg]
[Thread-2 , 2021-02-01 14:41:50,310, INFO, image 197058 saved to ./incoming/pexels-photo-134392.jpeg]
[Thread-20 , 2021-02-01 14:41:50,351, INFO, image 177982 saved to ./incoming/pexels-photo-323503.jpeg]
[Thread-25 , 2021-02-01 14:41:50,364, INFO, image 116605 saved to ./incoming/pexels-photo-333529.jpeg]
[Thread-7 , 2021-02-01 14:41:50,753, INFO, image 40052 saved to ./incoming/pexels-photo-185934.jpeg]
[Thread-11 , 2021-02-01 14:41:50,757, INFO, image 72124 saved to ./incoming/pexels-photo-207962.jpeg]
[Thread-14 , 2021-02-01 14:41:50,866, INFO, image 91450 saved to ./incoming/pexels-photo-265186.jpeg]
[Thread-15 , 2021-02-01 14:41:50,906, INFO, image 151442 saved to ./incoming/pexels-photo-302899.jpeg]
[Thread-22 , 2021-02-01 14:41:50,977, INFO, image 151399 saved to ./incoming/pexels-photo-324655.jpeg]
[Thread-6 , 2021-02-01 14:41:50,978, INFO, image 125169 saved to ./incoming/pexels-photo-173125.jpeg]
[Thread-8 , 2021-02-01 14:41:51,016, INFO, image 186764 saved to ./incoming/pexels-photo-192454.jpeg]
[Thread-5 , 2021-02-01 14:41:51,113, INFO, image 275019 saved to ./incoming/pexels-photo-167921.jpeg]
[Thread-24 , 2021-02-01 14:41:51,125, INFO, image 180393 saved to ./incoming/pexels-photo-325520.jpeg]
[Thread-16 , 2021-02-01 14:41:51,170, INFO, image 233494 saved to ./incoming/pexels-photo-317156.jpeg]
[Thread-9 , 2021-02-01 14:41:51,181, INFO, image 364212 saved to ./incoming/pexels-photo-193038.jpeg]
[Thread-10 , 2021-02-01 14:41:51,213, INFO, image 420808 saved to ./incoming/pexels-photo-193043.jpeg]
[Thread-17 , 2021-02-01 14:41:51,487, INFO, image 591633 saved to ./incoming/pexels-photo-317383.jpeg]
[Thread-19 , 2021-02-01 14:41:51,825, INFO, image 515517 saved to ./incoming/pexels-photo-322207.jpeg]
[MainThread , 2021-02-01 14:41:51,825, INFO, downloaded 26 images  in 2.8103188869990845 seconds: 5627593 TOTAL BYTES]
[MainThread , 2021-02-01 14:41:51,825, INFO, END make_thumbnails in 2.81061317700005 seconds]
